index,bus_idx,pgmax,pgmin,c0,c1,c2
228,11,24.5,5,90.04,25.441,0.109
229,1,47,8,43.97,14.879,0.062
230,9,47,1,318.86,13.537,0.026
231,9,47,1,318.86,13.537,0.026
232,9,47,1,318.86,13.537,0.026
233,9,47,1,318.86,13.537,0.026
234,9,47,1,318.86,13.537,0.026
235,9,47,1,318.86,13.537,0.026
236,9,47,1,318.86,13.537,0.026
237,9,47,1,318.86,13.537,0.026
238,9,47,1,318.86,13.537,0.026
239,9,47,1,318.86,13.537,0.026
240,1,47,40,51.34,14.879,0.053
241,1,25,10,51.34,14.879,0.053
242,6,47,23,318.86,13.537,0.026
243,5,46.5,5,318.86,13.537,0.026
244,11,44.6,34,51.34,14.879,0.053
245,11,46,29,51.34,14.879,0.053
246,1,42.1,2,190.41,34.988,0.08
247,4,42,27,51.34,14.879,0.053
248,4,25,10,51.34,14.879,0.053
249,8,40.9,25,51.34,14.879,0.053
250,8,22,10,51.34,14.879,0.053
251,2,39.5,3.5,0,0,0
252,9,18.5,8,1952.1,59.305,0.01
253,9,18.5,8,1952.1,59.305,0.01
254,1,6.05,0.87,43.97,14.879,0.062
255,1,6.05,0.87,43.97,14.879,0.062
256,1,6.05,0.87,43.97,14.879,0.062
257,1,6.05,0.87,43.97,14.879,0.062
258,1,6.05,0.87,43.97,14.879,0.062
259,1,6.05,0.87,43.97,14.879,0.062
260,2,9,3,43.97,14.879,0.062
261,2,9,3,43.97,14.879,0.062
262,2,9,3,43.97,14.879,0.062
263,2,9,3,43.97,14.879,0.062
264,1,36,15,43.97,14.879,0.062
265,6,4.9,2.38,128.6,26.977,0.07
266,6,4.9,2.38,128.6,26.977,0.07
267,6,4.9,2.38,128.6,26.977,0.07
268,6,4.9,2.38,128.6,26.977,0.07
269,6,4.9,2.38,128.6,26.977,0.07
270,6,4.9,2.38,128.6,26.977,0.07
271,8,26.9,5,125.03,25.342,0.091
272,8,26,1,43.97,14.879,0.062
273,8,25,1,43.97,14.879,0.062
274,8,25,1,43.97,14.879,0.062
275,11,25,3,0,0,0
276,11,25,3,0,0,0
277,1,24.6,6,43.97,14.879,0.062
278,1,24.6,6,43.97,14.879,0.062
279,8,24,1,43.97,14.879,0.062
280,5,7.8,3.1,51.34,14.879,0.053
281,5,7.8,3.1,51.34,14.879,0.053
282,5,7.8,3.1,51.34,14.879,0.053
283,1,11,1,43.97,14.879,0.062
284,1,11,1,43.97,14.879,0.062
285,9,22,16,318.86,13.537,0.026
286,9,22,16,318.86,13.537,0.026
287,9,22,16,318.86,13.537,0.026
288,9,22,16,318.86,13.537,0.026
289,9,22,16,318.86,13.537,0.026
290,9,22,16,318.86,13.537,0.026
291,9,22,16,318.86,13.537,0.026
292,9,22,15.8,318.86,13.537,0.026
293,9,22,16,318.86,13.537,0.026
294,9,22,16,318.86,13.537,0.026
295,9,22,16,318.86,13.537,0.026
296,9,22,16,318.86,13.537,0.026
297,9,22,16,318.86,13.537,0.026
298,9,22,16,318.86,13.537,0.026
299,9,22,16,318.86,13.537,0.026
300,9,22,16,318.86,13.537,0.026
301,1,22,0.1,43.97,14.879,0.062
302,1,22,0.1,43.97,14.879,0.062
